find src/java/core -name "*.java" | xargs wc | sort -n &&  find src/java/core -name "*.scala" | xargs wc | sort -n
       3       9     106 src/java/core/leapstream/scoreboard/edge/java/io/ByteArrayInputStream.java
       4       7      71 src/java/core/leapstream/scoreboard/core/ui/tile/Tile.java
       4       7      80 src/java/core/leapstream/scoreboard/pylons/score/ui/comp/Title.java
       4       9      99 src/java/core/leapstream/scoreboard/alien/ui/gunge/flash/Flasher.java
       4       9      99 src/java/core/leapstream/scoreboard/edge/java/io/InputStreamReader.java
       4       9     100 src/java/core/leapstream/scoreboard/alien/aqueduct/ResivoirWorker.java
       4       9     104 src/java/core/leapstream/scoreboard/edge/java/text/SimpleDateFormat.java
       4       9     122 src/java/core/leapstream/scoreboard/alien/io/stream/BytesFromInputStream.java
       4      10     106 src/java/core/leapstream/scoreboard/alien/aqueduct/Conduit.java
       4      10     121 src/java/core/leapstream/scoreboard/alien/aqueduct/Resivoir.java
       5       9      91 src/java/core/leapstream/scoreboard/core/ui/config/Config.java
       5       9      94 src/java/core/leapstream/scoreboard/edge/java/io/Closeable.java
       5       9      99 src/java/core/leapstream/scoreboard/alien/ui/audio/core/Playable.java
       5       9     100 src/java/core/leapstream/scoreboard/alien/aqueduct/ConduitOut.java
       5       9     100 src/java/core/leapstream/scoreboard/alien/ui/audio/core/AudioWirer.java
       5       9     104 src/java/core/leapstream/scoreboard/alien/resilient/TimeoutHandler.java
       5       9     105 src/java/core/leapstream/scoreboard/pylons/score/ui/layout/Spacings.java
       5      10      94 src/java/core/leapstream/scoreboard/core/model/Result.java
       5      10     104 src/java/core/leapstream/scoreboard/pylons/score/ui/comp/Peg.java
       5      10     109 src/java/core/leapstream/scoreboard/alien/aqueduct/AqueductWirer.java
       5      10     110 src/java/core/leapstream/scoreboard/alien/ui/gunge/image/Image.java
       5      10     111 src/java/core/leapstream/scoreboard/alien/aqueduct/ConduitIn.java
       5      10     112 src/java/core/leapstream/scoreboard/alien/resilient/ErrorHandler.java
       5      10     113 src/java/core/leapstream/scoreboard/alien/ui/audio/core/Audio.java
       5      10     117 src/java/core/leapstream/scoreboard/core/entry/ScoreboardArguments.java
       5      10     118 src/java/core/leapstream/scoreboard/core/config/script/Configurator.java
       5      11     152 src/java/core/leapstream/scoreboard/core/model/Id.java
       5      11     153 src/java/core/leapstream/scoreboard/core/model/Name.java
       5      14     134 src/java/core/leapstream/scoreboard/alien/script/Args.java
       5      14     140 src/java/core/leapstream/scoreboard/edge/javax/sound/sampled/DataLine.java
       6      11     123 src/java/core/leapstream/scoreboard/alien/ui/gunge/flash/WidgetFlasher.java
       6      11     139 src/java/core/leapstream/scoreboard/core/bits/Bits.java
       6      11     141 src/java/core/leapstream/scoreboard/core/ui/layout/BoardLayoutManager.java
       6      11     142 src/java/core/leapstream/scoreboard/edge/java/io/Reader.java
       6      11     158 src/java/core/leapstream/scoreboard/edge/javax/net/ssl/SSLSocketFactory.java
       6      11     159 src/java/core/leapstream/scoreboard/alien/aqueduct/Pool.java
       6      11     159 src/java/core/leapstream/scoreboard/edge/javax/sound/sampled/AudioFormat.java
       6      11     169 src/java/core/leapstream/scoreboard/alien/ui/gunge/image/ImageData.java
       6      11     173 src/java/core/leapstream/scoreboard/pylons/image/ui/core/ImageTileWidgets.java
       6      11     173 src/java/core/leapstream/scoreboard/pylons/score/ui/core/ScoreTileWidgets.java
       6      11     176 src/java/core/leapstream/scoreboard/pylons/status/ui/core/StatusTileWidgets.java
       6      12     132 src/java/core/leapstream/scoreboard/alien/aqueduct/ResivoirManager.java
       6      12     133 src/java/core/leapstream/scoreboard/core/ui/frob/WindowFrobber.java
       6      12     142 src/java/core/leapstream/scoreboard/alien/ui/swing/pear/LayeredPane.java
       6      12     161 src/java/core/leapstream/scoreboard/pylons/score/ui/layout/TileLayoutManager.java
       6      13     112 src/java/core/leapstream/scoreboard/alien/ui/core/Control.java
       6      13     208 src/java/core/leapstream/scoreboard/core/model/ImageLocation.java
       6      14     167 src/java/core/leapstream/scoreboard/pylons/score/ui/comp/Status.java
       6      14     176 src/java/core/leapstream/scoreboard/edge/java/io/OutputStream.java
       6      15     122 src/java/core/leapstream/scoreboard/core/ui/key/Handler.java
       6      15     165 src/java/core/leapstream/scoreboard/core/config/script/ExtensionMaster.java
       6      19     150 src/java/core/leapstream/scoreboard/core/poll/Poller.java
       6      19     159 src/java/core/leapstream/scoreboard/core/model/Stati.java
       6      21     169 src/java/core/leapstream/scoreboard/alien/clobber/read/lex/Lexer.java
       6      22     172 src/java/core/leapstream/scoreboard/alien/clobber/core/Dumper.java
       6      22     182 src/java/core/leapstream/scoreboard/alien/clobber/read/parse/ParserFactory.java
       6      22     183 src/java/core/leapstream/scoreboard/alien/clobber/read/parse/NameMapper.java
       6      22     184 src/java/core/leapstream/scoreboard/alien/clobber/read/lex/NuLexer.java
       6      22     218 src/java/core/leapstream/scoreboard/alien/resilient/ResilientRunnables.java
       6      25     180 src/java/core/leapstream/scoreboard/core/poll/Threads.java
       7      11     123 src/java/core/leapstream/scoreboard/alien/ui/core/Ui.java
       7      11     152 src/java/core/leapstream/scoreboard/core/ui/widgets/Widgets.java
       7      12     130 src/java/core/leapstream/scoreboard/pylons/score/ui/lf/Colors.java
       7      12     147 src/java/core/leapstream/scoreboard/core/sounds/Sounds.java
       7      12     150 src/java/core/leapstream/scoreboard/core/ui/widgets/Board.java
       7      12     159 src/java/core/leapstream/scoreboard/alien/io/file/Files.java
       7      12     164 src/java/core/leapstream/scoreboard/pylons/score/ui/comp/Pegs.java
       7      12     165 src/java/core/leapstream/scoreboard/pylons/score/ui/comp/Freshness.java
       7      12     169 src/java/core/leapstream/scoreboard/alien/gunge/StringSlurper.java
       7      12     171 src/java/core/leapstream/scoreboard/alien/io/stream/FromInputStream.java
       7      12     181 src/java/core/leapstream/scoreboard/alien/ui/dialog/InputDialog.java
       7      13     126 src/java/core/leapstream/scoreboard/core/ui/key/Navigator.java
       7      13     151 src/java/core/leapstream/scoreboard/pylons/score/state/ScoreDelta.java
       7      13     166 src/java/core/leapstream/scoreboard/alien/collections/Queues.java
       7      13     173 src/java/core/leapstream/scoreboard/edge/java/io/BufferedReader.java
       7      13     184 src/java/core/leapstream/scoreboard/core/model/History.java
       7      13     193 src/java/core/leapstream/scoreboard/edge/javax/net/ssl/SSLContextStatic.java
       7      13     196 src/java/core/leapstream/scoreboard/core/model/ImagePack.java
       7      13     200 src/java/core/leapstream/scoreboard/edge/javax/sound/sampled/AudioInputStream.java
       7      13     232 src/java/core/leapstream/scoreboard/pylons/score/job/ScoreFromInputStream.java
       7      14     147 src/java/core/leapstream/scoreboard/alien/ui/gunge/layout/Tiler.java
       7      14     151 src/java/core/leapstream/scoreboard/alien/ui/gunge/border/Borders.java
       7      14     160 src/java/core/leapstream/scoreboard/core/gunge/Builder.java
       7      14     165 src/java/core/leapstream/scoreboard/pylons/score/ui/audio/Gong.java
       7      14     183 src/java/core/leapstream/scoreboard/core/config/script/ConfiguratorFu.java
       7      14     184 src/java/core/leapstream/scoreboard/alien/script/ScriptFu.java
       7      14     186 src/java/core/leapstream/scoreboard/edge/java/net/InetAddress.java
       7      14     189 src/java/core/leapstream/scoreboard/edge/java/net/InetAddressStatic.java
       7      14     193 src/java/core/leapstream/scoreboard/alien/net/auth/HttpAuth.java
       7      14     211 src/java/core/leapstream/scoreboard/core/ui/widgets/NavigableTile.java
       7      14     223 src/java/core/leapstream/scoreboard/core/gunge/Imager.java
       7      14     228 src/java/core/leapstream/scoreboard/edge/javax/net/ssl/HttpsURLConnection.java
       7      16     178 src/java/core/leapstream/scoreboard/core/pylon/PylonWirer.java
       7      16     180 src/java/core/leapstream/scoreboard/alien/ui/gunge/layout/LayoutDude.java
       7      16     187 src/java/core/leapstream/scoreboard/alien/ui/gunge/fitter/Insider.java
       7      16     187 src/java/core/leapstream/scoreboard/edge/javax/sound/sampled/Line.java
       7      18     206 src/java/core/leapstream/scoreboard/alien/ui/core/Widget.java
       7      19     198 src/java/core/leapstream/scoreboard/alien/ui/gunge/thread/ThreadUtil.java
       7      21     223 src/java/core/leapstream/scoreboard/alien/ui/swing/type/FontRatio.java
       7      25     215 src/java/core/leapstream/scoreboard/alien/clobber/read/parse/TypeMapper.java
       7      27     198 src/java/core/leapstream/scoreboard/alien/io/file/Paths.java
       7      28     226 src/java/core/leapstream/scoreboard/core/config/exposed/Seeds.java
       7      31     228 src/java/core/leapstream/scoreboard/pylons/score/ui/lf/PropDefs.java
       7      31     232 src/java/core/leapstream/scoreboard/core/config/exposed/Applicator.java
       7      35     269 src/java/core/leapstream/scoreboard/core/config/exposed/Applicators.java
       7      35     279 src/java/core/leapstream/scoreboard/core/config/exposed/ExposedConfig.java
       8      12     160 src/java/core/leapstream/scoreboard/pylons/score/push/ScorePusher.java
       8      13     178 src/java/core/leapstream/scoreboard/edge/java/lang/Class.java
       8      13     194 src/java/core/leapstream/scoreboard/alien/ui/val/AspectRatio.java
       8      13     196 src/java/core/leapstream/scoreboard/alien/ui/val/PreferredSize.java
       8      14     183 src/java/core/leapstream/scoreboard/pylons/score/ui/layout/LayoutDud.java
       8      14     213 src/java/core/leapstream/scoreboard/alien/net/url/UrlGetter.java
       8      14     239 src/java/core/leapstream/scoreboard/core/images/ImageGrabber.java
       8      15     179 src/java/core/leapstream/scoreboard/alien/ui/swing/containers/Failable.java
       8      15     198 src/java/core/leapstream/scoreboard/core/gunge/Statistician.java
       8      15     199 src/java/core/leapstream/scoreboard/alien/ui/swing/type/FontSpec.java
       8      15     216 src/java/core/leapstream/scoreboard/alien/net/core/SocketMaster.java
       8      16     195 src/java/core/leapstream/scoreboard/alien/ui/gunge/layout/Cardinal.java
       8      16     218 src/java/core/leapstream/scoreboard/pylons/score/core/ScorePylonWirerFu.java
       8      16     220 src/java/core/leapstream/scoreboard/pylons/status/core/StatusPylonWirerFu.java
       8      16     282 src/java/core/leapstream/scoreboard/alien/ui/audio/wav/Streama.java
       8      17     200 src/java/core/leapstream/scoreboard/pylons/image/core/ImagePylonWirer.java
       8      17     211 src/java/core/leapstream/scoreboard/core/config/script/ConfiguratorLibraries.java
       8      17     246 src/java/core/leapstream/scoreboard/alien/net/url/UrlProcessor.java
       8      18     184 src/java/core/leapstream/scoreboard/pylons/score/ui/layout/TileManager.java
       8      18     202 src/java/core/leapstream/scoreboard/alien/ui/gunge/fitter/Fitter.java
       8      20     176 src/java/core/leapstream/scoreboard/alien/aqueduct/Aqueduct.java
       8      20     255 src/java/core/leapstream/scoreboard/pylons/image/pull/ImagePuller.java
       8      20     255 src/java/core/leapstream/scoreboard/pylons/image/push/ImagePusher.java
       8      21     219 src/java/core/leapstream/scoreboard/pylons/status/core/StatusPylonWirer.java
       8      24     238 src/java/core/leapstream/scoreboard/alien/io/file/DefaultPaths.java
       8      24     253 src/java/core/leapstream/scoreboard/alien/clobber/read/parse/Parser.java
       8      25     220 src/java/core/leapstream/scoreboard/alien/clobber/read/lex/Scanner.java
       8      27     251 src/java/core/leapstream/scoreboard/alien/clobber/core/Slurper.java
       8      34     333 src/java/core/leapstream/scoreboard/pylons/score/core/PollThing.java
       9      15     175 src/java/core/leapstream/scoreboard/core/gunge/Urler.java
       9      15     178 src/java/core/leapstream/scoreboard/alien/net/url/UrlSlurper.java
       9      16     208 src/java/core/leapstream/scoreboard/core/ui/fail/JollyRoger.java
       9      16     225 src/java/core/leapstream/scoreboard/pylons/score/ui/wire/Layout.java
       9      17     197 src/java/core/leapstream/scoreboard/alien/ui/gunge/invert/Inverter.java
       9      17     227 src/java/core/leapstream/scoreboard/core/model/Build.java
       9      17     242 src/java/core/leapstream/scoreboard/alien/gunge/Resources.java
       9      17     244 src/java/core/leapstream/scoreboard/core/model/Status.java
       9      18     160 src/java/core/leapstream/scoreboard/core/ui/key/EscHandler.java
       9      18     164 src/java/core/leapstream/scoreboard/core/ui/key/RightHandler.java
       9      18     238 src/java/core/leapstream/scoreboard/alien/ui/audio/core/Playables.java
       9      19     298 src/java/core/leapstream/scoreboard/edge/javax/sound/sampled/AudioSystemStatic.java
       9      20     222 src/java/core/leapstream/scoreboard/alien/script/Arg.java
       9      21     229 src/java/core/leapstream/scoreboard/edge/java/io/InputStream.java
       9      22     240 src/java/core/leapstream/scoreboard/alien/ui/gunge/layout/Scraps.java
       9      23     221 src/java/core/leapstream/scoreboard/alien/script/Script.java
       9      30     255 src/java/core/leapstream/scoreboard/alien/ui/gunge/layout/ArrangeDude.java
       9      32     262 src/java/core/leapstream/scoreboard/alien/gunge/TimePointFormat.java
       9      35     273 src/java/core/leapstream/scoreboard/alien/clobber/read/lex/SimpleLexer.java
       9      36     284 src/java/core/leapstream/scoreboard/pylons/score/core/ScorePylonWirer.java
       9      41     309 src/java/core/leapstream/scoreboard/alien/clobber/core/DefaultDumper.java
      10      17     222 src/java/core/leapstream/scoreboard/core/pylon/Pylon.java
      10      18     266 src/java/core/leapstream/scoreboard/alien/ui/gunge/flash/FlashBang.java
      10      19     263 src/java/core/leapstream/scoreboard/core/model/Run.java
      10      20     265 src/java/core/leapstream/scoreboard/core/gunge/Historian.java
      10      20     272 src/java/core/leapstream/scoreboard/edge/java/awt/FontStatic.java
      10      20     349 src/java/core/leapstream/scoreboard/pylons/status/ui/core/StatusTile.java
      10      20     350 src/java/core/leapstream/scoreboard/pylons/image/ui/core/ImageTile.java
      10      21     320 src/java/core/leapstream/scoreboard/pylons/image/core/ImagePylonWirerFu.java
